Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,ADX
2022-01-07,155.0,157.4499969482422,154.9499969482422,156.9499969482422,129.39210510253906,11679683,0.0,0,19.813964057727105
2022-01-10,157.8000030517578,161.0,157.0500030517578,160.6999969482422,132.48365783691406,14655298,0.0,0,20.470989828665818
2022-01-11,160.64999389648438,160.64999389648438,158.10000610351562,158.5500030517578,130.711181640625,7670386,0.0,0,21.081085187394624
2022-01-12,160.39999389648438,160.75,158.5,159.35000610351562,131.3707275390625,6334581,0.0,0,21.66769916991483
2022-01-13,159.35000610351562,166.4499969482422,159.0,164.75,135.82257080078125,20271714,0.0,0,23.200663606857052
2022-01-14,164.75,166.14999389648438,163.25,164.75,135.82257080078125,10211720,0.0,0,24.624130584017685
2022-01-17,165.60000610351562,166.10000610351562,162.0500030517578,163.6999969482422,134.9569091796875,8384625,0.0,0,25.47975189582363
2022-01-18,164.0,165.5,160.3000030517578,160.8000030517578,132.5661163330078,6574122,0.0,0,25.62220836911633
2022-01-19,161.0,164.85000610351562,160.8000030517578,163.89999389648438,135.1217803955078,11503199,0.0,0,25.754489380030982
2022-01-20,164.5,168.25,163.85000610351562,165.0500030517578,136.0699005126953,17462235,0.0,0,26.55528675154094
2022-01-21,163.3000030517578,163.3000030517578,157.5,158.75,130.87606811523438,14466758,0.0,0,25.26030840544891
2022-01-24,158.1999969482422,160.39999389648438,154.8000030517578,156.3000030517578,128.85623168945312,10854431,0.0,0,23.52876623674563
2022-01-25,155.0,161.60000610351562,154.3000030517578,161.14999389648438,132.85467529296875,7267866,0.0,0,22.064163205818062
2022-01-27,158.89999389648438,161.3000030517578,158.0,160.5500030517578,132.36001586914062,9269062,0.0,0,20.70417467709961
2022-01-28,160.60000610351562,165.0,160.60000610351562,161.64999389648438,133.26686096191406,10310726,0.0,0,20.308560638692875
2022-01-31,163.39999389648438,163.39999389648438,159.14999389648438,159.8000030517578,131.74169921875,5811200,0.0,0,19.528358488319117
2022-02-01,162.0,163.4499969482422,158.60000610351562,163.0500030517578,134.4210662841797,7248713,0.0,0,18.646928572578652
2022-02-02,163.0,164.60000610351562,162.25,163.85000610351562,135.08059692382812,5369074,0.0,0,18.115364128368704
2022-02-03,163.10000610351562,164.14999389648438,160.60000610351562,161.3000030517578,132.9783172607422,4654885,0.0,0,17.123898492430435
2022-02-04,161.3000030517578,162.8000030517578,160.0,160.39999389648438,132.23634338378906,6402287,0.0,0,16.024877990392593
2022-02-07,160.64999389648438,163.0,159.64999389648438,160.9499969482422,132.68975830078125,5871041,0.0,0,14.896609082181516
